experiment,case,protocol,active_profile,R_neck_Mohm,R_in_d_Mohm,SMI,path_length_um,branch_order,membrane_area_um2,dendritic_capacitance_pF,A_h_mV,V_h_peak_mV,V_h_min_mV,A_d_mV,Gamma_h_to_d,V_d_peak_mV,V_d_min_mV,A_s_mV,Gamma_h_to_s,V_s_peak_mV,V_s_min_mV,local_voltage_isolation,max_voltage_mV,min_voltage_mV,min_gate,max_gate,Zin_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,active_frozen_Zin_50Hz_Mohm,active_frozen_transfer_gain_50Hz,active_profile_channel_count,leak_scale,soma_coupling_scale
iso_smi,cable_L180.0_r0.35,AMPA_NMDA,hcn,469.6269375953572,587.0336719941965,0.8,171.0,0,1652.4777357882313,223.9584067435231,37.67210868926626,-31.774602752377692,-69.44666185235926,17.616077221655527,0.4676159056282081,-51.99810724309423,-69.61413320236993,0.9216561818199548,0.024465213493147467,-69.00812545822733,-69.92972915964965,0.5323840943717919,-31.774602752377692,-70.0,0.14290525751620956,0.18242552380635635,429.4825071086477,0.03203963737784531,3.4407814746411156,427.8518601967756,0.032039086467193716,1,,
iso_smi,branch_asymmetric,AMPA_NMDA,hcn,413.8011362894492,517.2514203618114,0.8,218.0,1,2111.150263212341,228.54513201776422,34.55759840536938,-34.96053283785644,-69.5180799041655,15.255037620162282,0.4414380143323857,-54.41110713806668,-69.66609209961467,0.9460516469330521,0.027376081978719314,-68.98535802185111,-69.93135712390178,0.5585619856676143,-34.96053283785644,-70.0,0.14613137031178225,0.18242552380635635,353.12530832852184,0.03726184340845851,3.289785440838769,352.0322694685799,0.037261181573045705,1,,
iso_smi,cable_L80.0_r0.45,AMPA_NMDA,full_restrained,206.50567475812232,258.1320934476529,0.8,73.33333333333334,0,1482.8317324943823,222.26194671058462,23.237258768902528,-46.61004195686557,-69.84726699950272,8.467111972731937,0.3643765410084913,-61.42950558570226,-69.89658331754357,1.1594710275383002,0.0498970657025162,-68.79222108074012,-69.95165749007245,0.6356234589915086,-46.61004195686557,-70.0,0.028905534475191907,0.7540796658225246,116.70962764025039,0.12200751106216444,2.103672670060679,116.49555585405247,0.12200138821856273,5,,
iso_smi,cable_L160.0_r0.45,AMPA_NMDA,full_restrained,305.370306093363,381.71288261670367,0.8,152.0,0,1709.0264035528476,224.52389342116928,46.29275231520588,-23.475944094901433,-69.76866363094267,20.43652293756071,0.44146268941645705,-49.404054327571416,-69.84054354108557,1.221473745622939,0.026385852742260022,-68.73136941822823,-69.95280869702974,0.558537310583543,-23.475944094901433,-70.0,0.028905534475191907,0.7999446616386808,235.16318121556728,0.059355353520657426,2.8242129594560073,234.29017366359687,0.059353187807028786,5,,
iso_smi,cable_L180.0_r0.35,AMPA_NMDA,full_restrained,469.6269375953572,587.0336719941965,0.8,171.0,0,1652.4777357882313,223.9584067435231,64.66924853019461,-4.971767650841122,-69.64098616915115,33.50671432605758,0.5181243804064465,-36.24219622016498,-69.74887863790964,1.0803656063115978,0.01670601763382431,-68.87330154709308,-69.95363293281402,0.4818756195935535,-4.971767650841122,-70.0,0.028905534475191907,0.9453974354092128,429.4825071086477,0.03203963737784531,3.4407814746411156,426.6001071096867,0.03203866043344754,5,,
iso_smi,branch_asymmetric,AMPA_NMDA,full_restrained,413.8011362894492,517.2514203618114,0.8,218.0,1,2111.150263212341,228.54513201776422,59.2533393984094,-10.432443324645295,-69.68575104877085,27.0926011386115,0.45723332074915546,-42.68908105087423,-69.78164896262473,1.0840846604170813,0.018295756347636034,-68.87053177961333,-69.95458204299203,0.5427666792508445,-10.432443324645295,-70.0,0.028905534475191907,0.9185639476469347,353.12530832852184,0.03726184340845851,3.289785440838769,351.1921471106122,0.03726066978257052,5,,
iso_neck_resistance,cable_L80.0_r0.45,AMPA,none,100.0,258.1320934476529,0.3873985549971112,73.33333333333334,0,1482.8317324943823,222.26194671058462,16.23658431893675,-53.7634156810632,-69.99999999999996,8.76075876561818,0.5395690739831589,-61.23924123438179,-69.99999999999997,1.1239990814105316,0.06922632613681007,-68.87600091858947,-70.0,0.4604309260168411,-53.7634156810632,-70.0,0.0,0.0,116.70962764025039,0.12200751106216444,2.103672670060679,116.70962764025039,0.12200751106216444,0,,
iso_neck_resistance,cable_L160.0_r0.45,AMPA,none,100.0,381.71288261670367,0.2619770108739422,152.0,0,1709.0264035528476,224.52389342116928,21.092094918482353,-48.90790508151767,-70.00000000000001,14.743760618699115,0.6990183135284306,-55.256239381300894,-70.0,1.0381906681637547,0.04922179006761535,-68.96180933183625,-70.0,0.3009816864715694,-48.90790508151767,-70.00000000000001,0.0,0.0,235.16318121556728,0.059355353520657426,2.8242129594560073,235.16318121556728,0.059355353520657426,0,,
iso_neck_resistance,cable_L180.0_r0.35,AMPA,none,100.0,587.0336719941965,0.17034797963171797,171.0,0,1652.4777357882313,223.9584067435231,27.231532055296103,-42.76846794470387,-69.99999999999999,22.020251031818205,0.808630634042333,-47.979748968181774,-69.99999999999999,0.9390644029808326,0.034484449904396745,-69.06093559701917,-70.0,0.19136936595766696,-42.76846794470387,-70.0,0.0,0.0,429.4825071086477,0.03203963737784531,3.4407814746411156,429.4825071086477,0.03203963737784531,0,,
iso_neck_resistance,branch_asymmetric,AMPA,none,100.0,517.2514203618114,0.19332958028428643,218.0,1,2111.150263212341,228.54513201776422,24.122096351077698,-45.87790364892236,-70.00000000000006,18.557895208273134,0.7693317752395109,-51.44210479172691,-70.00000000000004,0.9574378405901307,0.03969131980303012,-69.04256215940988,-70.0,0.2306682247604891,-45.87790364892236,-70.00000000000006,0.0,0.0,353.12530832852184,0.03726184340845851,3.289785440838769,353.12530832852184,0.03726184340845851,0,,
