group,target,predictor,pearson,spearman,abs_spearman,n
AMPA/none,local_voltage_isolation,path_length_um,-0.383292790227465,-0.3903600291794133,0.3903600291794133,8
AMPA/none,local_voltage_isolation,branch_order,-0.1424664706825321,-0.1259881576697424,0.1259881576697424,8
AMPA/none,local_voltage_isolation,membrane_area_um2,-0.2516174048786842,-0.19518001458970666,0.19518001458970666,8
AMPA/none,local_voltage_isolation,dendritic_capacitance_pF,-0.25161740487868417,-0.19518001458970666,0.19518001458970666,8
AMPA/none,local_voltage_isolation,active_profile_channel_count,nan,nan,nan,8
AMPA_NMDA/full_restrained,Gamma_h_to_d,R_neck_Mohm,-0.6777937440957849,-0.7526616576992015,0.7526616576992015,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,R_in_d_Mohm,0.36207132368461276,0.4666828712143621,0.4666828712143621,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,SMI,-0.9188689906663193,-0.9637811542397078,0.9637811542397078,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,Zin_50Hz_Mohm,0.36996678577757625,0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,transfer_gain_50Hz,-0.4876131132202896,-0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,electrotonic_distance_50Hz,0.4340832651188187,0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,active_frozen_Zin_50Hz_Mohm,0.37048097576030015,0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,active_frozen_transfer_gain_50Hz,-0.48761257499403554,-0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,path_length_um,0.3916435120466996,0.3366005261346185,0.3366005261346185,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,branch_order,-0.004209451807486847,0.057058719496440716,0.057058719496440716,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,membrane_area_um2,0.21104057852392438,0.2584611182819392,0.2584611182819392,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,dendritic_capacitance_pF,0.21104057852392413,0.2584611182819392,0.2584611182819392,13
AMPA_NMDA/full_restrained,Gamma_h_to_d,active_profile_channel_count,nan,nan,nan,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,R_neck_Mohm,-0.763582951175628,-0.71906069083763,0.71906069083763,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,R_in_d_Mohm,-0.6544985524135924,-0.48890586508171263,0.48890586508171263,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,SMI,-0.530576436357313,-0.36875105031780125,0.36875105031780125,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,Zin_50Hz_Mohm,-0.7966296154675996,-0.7666932884235949,0.7666932884235949,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,transfer_gain_50Hz,0.7094121983142104,0.7666932884235949,0.7666932884235949,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,electrotonic_distance_50Hz,-0.7757030119346514,-0.7666932884235949,0.7666932884235949,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,active_frozen_Zin_50Hz_Mohm,-0.7966312530223474,-0.7666932884235949,0.7666932884235949,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,active_frozen_transfer_gain_50Hz,0.709415820712943,0.7666932884235949,0.7666932884235949,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,path_length_um,-0.6649538862943308,-0.6792117759502123,0.6792117759502123,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,branch_order,-0.37882070755066116,-0.399411036475085,0.399411036475085,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,membrane_area_um2,-0.46975449217100274,-0.1803217104292599,0.1803217104292599,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,dendritic_capacitance_pF,-0.4697544921710027,-0.1803217104292599,0.1803217104292599,13
AMPA_NMDA/full_restrained,Gamma_h_to_s,active_profile_channel_count,nan,nan,nan,13
