scenario,protocol,evidence_grade,reference_ids,n_spines,event_pattern,neck_length_um,neck_radius_um,head_radius_um,rho_ohm_cm,R_neck_Mohm,R_in_d_Mohm,SMI,synaptic_g_scale,ampa_g_max_nS,nmda_fraction,dendritic_leak_scale,hcn_scale,kdr_scale,ka_scale,cluster_spine_count,Zin_50Hz_Mohm,Ztransfer_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,dynamic_SMI_abs_50Hz,active_frozen_Zin_50Hz_Mohm,active_frozen_Ztransfer_50Hz_Mohm,clinical_claim,exploratory_only,A_h_mV,A_d_mV,A_s_mV,Gamma_h_to_d,Gamma_h_to_s,local_voltage_isolation,latency_head_ms,half_width_head_ms,head_voltage_integral_mV_ms,soma_voltage_integral_mV_ms,max_synaptic_conductance_nS,driving_force_reduction_mV,max_voltage_mV,min_voltage_mV,threshold_crossed_minus20mV,soma_crossed_0mV,finite,min_gate,max_gate,sample_index,uncertainty_seed
increased_exc_synaptic_strength,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.8857497175214671,0.10423727703528349,0.38447439323900645,100.0,25.948665881055227,309.9356403537264,0.0837227556386877,1.8246966104229574,2.55457525459214,0.400401005798014,0.8868191804808552,1.0512440468910387,0.843040188817893,0.8046497208269048,1,166.1058586645788,14.042725430040125,0.08454081958901227,2.4705207892014367,0.1562176439149804,165.68870996512368,14.00689585063526,none,True,23.70407885268945,20.642852258175235,2.0478607562801483,0.8708565469454261,0.08639275835212636,0.12914345305457386,1.3200000000000016,4.34,203.5431469033356,71.55789794199991,2.6102161539100295,23.70407885268945,-46.13960732508106,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,3,20261005
increased_exc_synaptic_strength,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.7955778448264601,0.11680431934252736,0.3717172116440139,100.0,18.56158257612898,309.9242749293083,0.059890702592956806,1.350364059540921,1.8905096833572892,0.23103020531029347,1.0395204671064044,1.2669464516638467,0.7274616768396451,1.1193156376011357,1,166.10382176221535,14.04247776360785,0.08454036526450458,2.470526163241228,0.11174687240309661,165.63745740245068,14.002421139251474,none,True,17.885904084043737,16.126462722102115,1.5413389231799108,0.9016297217253197,0.08617618186574982,0.09837027827468026,1.1999999999999997,4.1400000000000015,140.62054695792241,52.137090527994886,1.9083047564298605,17.885904084043737,-51.91615555557456,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,4,20261005
increased_exc_synaptic_strength,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.7820969284758716,0.10753490092736034,0.3508936300740552,100.0,21.5284037118446,309.91220379533024,0.0694661373388904,1.2469311292786587,1.745703580990122,0.46260712629441963,1.201717192503469,1.109139684280926,1.0289454117602104,1.017973106326474,1,166.10165825873852,14.042214704208735,0.08453988269241124,2.4705318714430926,0.1296098060520838,165.6347042791154,14.002107654324783,none,True,17.13961522723556,15.208119614044572,1.4729456778603822,0.8873081112041674,0.08593808310934602,0.11269188879583258,1.1999999999999997,4.199999999999999,145.40954097979113,51.98299029122339,1.7774745320076069,17.13961522723556,-52.708697131788895,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,5,20261005
increased_exc_synaptic_strength,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.6879506124198689,0.12271756331498257,0.32807972601819063,100.0,14.540988878106907,309.90750435792296,0.04692041552279745,1.4142908568025079,1.980007199523511,0.23897288315270504,1.2648661723912094,1.2139507542368726,0.9902389311525521,0.9362780150281267,1,166.10081594619672,14.042112287931424,0.08453969481089084,2.470534093846569,0.08754315140039418,165.61717238856116,14.000571831801011,none,True,18.255073915932222,16.821254390669115,1.601677883063507,0.9214563834763916,0.08773877829470925,0.07854361652360842,1.1999999999999997,4.16,144.221466998416,53.96727952226868,1.9995918983723695,18.255073915932222,-51.571221948216234,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,6,20261005
increased_exc_synaptic_strength,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.8420844400102376,0.11121115034146559,0.3188748387746215,100.0,21.672504602051415,309.91770177235577,0.06992987002068873,1.564047958080238,2.189667141312333,0.3660309248593188,1.1278405240365736,0.7086047661478412,1.1073730496469345,1.167032621448283,1,166.10264367438174,14.042334520391602,0.08454010249180262,2.470529271497379,0.13047657835318366,165.7163069753371,14.009151721104931,none,True,20.539493603392916,18.237085353273216,1.7615036177869026,0.8879033585453457,0.08576178419004059,0.11209664145465426,1.2400000000000015,4.2200000000000015,169.9906625691874,60.39941987721721,2.2268446726792166,20.539493603392916,-49.39456062475112,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,7,20261005
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.8369944106624999,0.11897781358703713,0.35958824578512333,100.0,18.820914317598966,309.9110996860155,0.060730042701494895,1.039483065074449,1.4552762911042287,0.598132824674006,1.2165535357047883,1.1030791246740623,0.8396674775533973,1.2263455442814117,1,166.10146036336556,14.04219064222287,0.08453983855111209,2.4705323935790275,0.11330974620226761,165.65462488749768,14.003811620276045,none,True,14.654032193514896,13.183703733500064,1.2844342008262872,0.8996638986049504,0.08765056496837165,0.10033610139504956,1.1999999999999997,4.2200000000000015,129.9614954513702,46.63397536076792,1.4854217462569321,14.654032193514896,-55.188448091201565,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,0,20261106
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.6592695043376846,0.113458949133467,0.371998928185414,100.0,16.30180151119029,309.93523732807785,0.05259744471692399,0.854125652364149,1.1957759133098085,0.515514608398042,0.8922338559405486,1.0719513603490485,1.0167485727901564,1.0080387864276492,1,166.10578643658408,14.042716647850202,0.08454080347894102,2.4705209797611314,0.0981410814211099,165.65008590052227,14.003575767342523,none,True,12.230574975157948,11.149242117195133,1.0636374183072146,0.9115877331884104,0.08696544687944881,0.08841226681158965,1.1800000000000006,4.1,103.75628242195293,37.944674386193775,1.2144483645269901,12.230574975157948,-57.62548167160292,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,1,20261106
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.8976425946490459,0.10691178638078505,0.308453710391405,100.0,24.997835585276828,309.9206706924729,0.08065881997939271,1.1110690810348187,1.555496713448746,0.5397677369422768,1.0879481817607333,1.188564573197409,0.9291106990367332,0.7162638068231818,1,166.1031757900186,14.042399220097275,0.08454022118065428,2.4705278675628572,0.15049583168041378,165.64366728256496,14.002931522729861,none,True,15.871446201897363,13.825212184272704,1.3481510800563283,0.8710745075404633,0.08494191788869011,0.12892549245953666,1.1800000000000006,4.2200000000000015,137.34382098555204,48.5187168236136,1.5865967178789553,15.871446201897363,-53.949090320741725,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,2,20261106
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.6239142437955638,0.12318860322509587,0.31181552959316594,100.0,13.086815083414958,309.9219987234047,0.0422261573470766,0.9665852272320823,1.353219318124915,0.6599290121841062,1.0701041726826501,0.9667983606937895,1.2707882902519199,1.1562044397323845,1,166.103413808742,14.042428160697582,0.08454027427074187,2.4705272395769096,0.07878715303517862,165.63071943531207,14.001827880270042,none,True,13.45719937228345,12.487363250592992,1.2046822974972198,0.9279318010485941,0.08951954000015729,0.07206819895140593,1.1999999999999997,4.200000000000002,120.74824470774709,43.76897828089541,1.3821281386623014,13.45719937228345,-56.43728693512055,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,3,20261106
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.7821033958368998,0.12719116374152334,0.3771110420327117,100.0,15.38864627392668,309.9466825005793,0.049649333716930234,0.9370049950852399,1.311806993119336,0.6914781130626315,0.7384733965314711,0.7573669103081397,1.2123172248949707,1.1349594306815143,1,166.10783752059913,14.042966039008371,0.08454126095806219,2.470515568434712,0.09264250563744966,165.69572430673327,14.007568792925653,none,True,13.27142933489269,12.160202722106897,1.1735060766339123,0.916269258966387,0.08842348830872186,0.083730741033613,1.1999999999999997,4.200000000000002,119.63978647211516,42.693042623980865,1.340864210308782,13.27142933489269,-56.65945489255379,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,4,20261106
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.7439106918958911,0.13181652117541526,0.3414758793668048,100.0,13.627972118136546,309.93058938145305,0.04397104572780216,1.137778323489735,1.592889652885629,0.7601787168548064,0.9546804626189973,0.912236043166005,0.7217761083354857,0.8066357442541409,1,166.10495344735241,14.042615364862913,0.08454061768431109,2.470523177455339,0.08204434506798727,165.73928305367392,14.01120744257453,none,True,15.564692961440308,14.407286437572393,1.4334115261054188,0.9256389749071664,0.09209378750075745,0.0743610250928336,1.2200000000000024,4.359999999999999,148.85931231595475,53.47963510225079,1.6368751599977807,15.564692961440308,-54.3022529152484,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,5,20261106
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.6875926894075949,0.13586751034920969,0.3306675625565947,100.0,11.856326298141687,309.9099946000788,0.038257321495686517,1.2165737587905683,1.7032032623067954,0.6489429716062928,1.231403121352184,0.8416252725158744,0.8765514691420848,0.915058618974785,1,166.10126229187333,14.042166558826471,0.0845397943704459,2.4705329161808978,0.07138010954611371,165.72608579340468,14.009942437638502,none,True,16.255039461399132,15.194941456274508,1.4924558144407962,0.9347834246947205,0.09181496101470152,0.06521657530527947,1.2200000000000024,4.320000000000001,149.94868871081556,54.40336475958085,1.7446573399352652,16.255039461399132,-53.63687962597163,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,6,20261106
