scenario,metric,n,median,p05,p95,iqr
combined_restrained_epileptogenesis,SMI,8,0.0784333146372882,0.05745296419276075,0.10762796114583909,0.02154183584530843
combined_restrained_epileptogenesis,A_h_mV,8,17.545955332203285,15.203834488536996,21.451965551873776,3.315494957685818
combined_restrained_epileptogenesis,Gamma_h_to_d,8,0.8750360606917256,0.8366932410435928,0.9050736599275458,0.029427834177866874
combined_restrained_epileptogenesis,Gamma_h_to_s,8,0.08622117061834661,0.08130844786158302,0.08818134951757665,0.0028237801850325567
combined_restrained_epileptogenesis,local_voltage_isolation,8,0.12496393930827437,0.0949263400724541,0.16330675895640723,0.029427834177866874
combined_restrained_epileptogenesis,active_frozen_Zin_50Hz_Mohm,8,165.82408939071092,165.7791789543151,165.87146033805644,0.06107317257189493
alternative_direction_conflicting,SMI,8,0.03934194339148817,0.029375864341307928,0.05085364243938679,0.008506095966281248
alternative_direction_conflicting,A_h_mV,8,12.305982083729027,10.507109771528873,14.704598070725694,2.582569215898342
alternative_direction_conflicting,Gamma_h_to_d,8,0.9325305671431783,0.9145501564330443,0.9487303027350698,0.013623937957595311
alternative_direction_conflicting,Gamma_h_to_s,8,0.08829256102745556,0.08642448694433107,0.09050318290981234,0.002220586967114302
alternative_direction_conflicting,local_voltage_isolation,8,0.06746943285682178,0.05126969726493022,0.08544984356695576,0.013623937957595367
alternative_direction_conflicting,active_frozen_Zin_50Hz_Mohm,8,165.5570094440468,165.42486061722707,165.67009929933744,0.1152394235233487
