condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
low,2.35,-70.0,-70.0,-70.0,0.0
low,2.3600000000000003,-70.0,-70.0,-70.0,0.0
low,2.37,-70.0,-70.0,-70.0,0.0
low,2.3800000000000003,-70.0,-70.0,-70.0,0.0
low,2.39,-70.0,-70.0,-70.0,0.0
low,2.4000000000000004,-70.0,-70.0,-70.0,0.0
low,2.41,-70.0,-70.0,-70.0,0.0
low,2.4200000000000004,-70.0,-70.0,-70.0,0.0
low,2.43,-70.0,-70.0,-70.0,0.0
low,2.4400000000000004,-70.0,-70.0,-70.0,0.0
low,2.45,-70.0,-70.0,-70.0,0.0
low,2.4600000000000004,-70.0,-70.0,-70.0,0.0
low,2.47,-70.0,-70.0,-70.0,0.0
low,2.48,-70.0,-70.0,-70.0,0.0
low,2.49,-70.0,-70.0,-70.0,0.0
low,2.5,-70.0,-70.0,-70.0,0.0
low,2.5100000000000002,-70.0,-70.0,-70.0,0.0
low,2.52,-70.0,-70.0,-70.0,0.0
low,2.5300000000000002,-70.0,-70.0,-70.0,0.0
low,2.54,-70.0,-70.0,-70.0,0.0
low,2.5500000000000003,-70.0,-70.0,-70.0,0.0
low,2.56,-70.0,-70.0,-70.0,0.0
low,2.5700000000000003,-70.0,-70.0,-70.0,0.0
low,2.58,-70.0,-70.0,-70.0,0.0
low,2.5900000000000003,-70.0,-70.0,-70.0,0.0
low,2.6000000000000005,-70.0,-70.0,-70.0,0.0
low,2.6100000000000003,-70.0,-70.0,-70.0,0.0
low,2.6200000000000006,-70.0,-70.0,-70.0,0.0
low,2.6300000000000003,-70.0,-70.0,-70.0,0.0
low,2.6400000000000006,-70.0,-70.0,-70.0,0.0
low,2.65,-70.0,-70.0,-70.0,0.0
low,2.66,-70.0,-70.0,-70.0,0.0
low,2.67,-70.0,-70.0,-70.0,0.0
low,2.68,-70.0,-70.0,-70.0,0.0
low,2.69,-70.0,-70.0,-70.0,0.0
low,2.7,-70.0,-70.0,-70.0,0.0
low,2.71,-70.0,-70.0,-70.0,0.0
low,2.72,-70.0,-70.0,-70.0,0.0
low,2.7300000000000004,-70.0,-70.0,-70.0,0.0
low,2.74,-70.0,-70.0,-70.0,0.0
low,2.7500000000000004,-70.0,-70.0,-70.0,0.0
low,2.7600000000000002,-70.0,-70.0,-70.0,0.0
low,2.7700000000000005,-70.0,-70.0,-70.0,0.0
low,2.7800000000000002,-70.0,-70.0,-70.0,0.0
low,2.7900000000000005,-70.0,-70.0,-70.0,0.0
low,2.8000000000000003,-70.0,-70.0,-70.0,0.0
low,2.8100000000000005,-70.0,-70.0,-70.0,0.0
low,2.82,-70.0,-70.0,-70.0,0.0
low,2.83,-70.0,-70.0,-70.0,0.0
low,2.84,-70.0,-70.0,-70.0,0.0
low,2.85,-70.0,-70.0,-70.0,0.0
low,2.8600000000000003,-70.0,-70.0,-70.0,0.0
low,2.87,-70.0,-70.0,-70.0,0.0
low,2.8800000000000003,-70.0,-70.0,-70.0,0.0
low,2.89,-70.0,-70.0,-70.0,0.0
low,2.9000000000000004,-70.0,-70.0,-70.0,0.0
low,2.91,-70.0,-70.0,-70.0,0.0
low,2.9200000000000004,-70.0,-70.0,-70.0,0.0
low,2.93,-70.0,-70.0,-70.0,0.0
low,2.9400000000000004,-70.0,-70.0,-70.0,0.0
low,2.95,-70.0,-70.0,-70.0,0.0
low,2.9600000000000004,-70.0,-70.0,-70.0,0.0
low,2.9700000000000006,-70.0,-70.0,-70.0,0.0
low,2.9800000000000004,-70.0,-70.0,-70.0,0.0
low,2.99,-70.0,-70.0,-70.0,0.0
low,3.0,-70.0,-70.0,-70.0,0.0
low,3.0100000000000002,-70.0,-70.0,-70.0,0.0
low,3.02,-70.0,-70.0,-70.0,0.0
low,3.0300000000000002,-70.0,-70.0,-70.0,0.0
low,3.04,-70.0,-70.0,-70.0,0.0
low,3.0500000000000003,-70.0,-70.0,-70.0,0.0
low,3.06,-70.0,-70.0,-70.0,0.0
low,3.0700000000000003,-70.0,-70.0,-70.0,0.0
low,3.08,-70.0,-70.0,-70.0,0.0
