condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
intermediate,48.88000000000001,-69.39059965300433,-69.39075726461435,-69.4694218831827,0.00013249162444428614
intermediate,48.89,-69.39080484193519,-69.39096194371776,-69.46954779841701,0.0001320507209435505
intermediate,48.900000000000006,-69.39100991047283,-69.39116650411627,-69.46967371648229,0.00013161128467440586
intermediate,48.910000000000004,-69.39121485876045,-69.39137094594746,-69.46979963731148,0.00013117331075422297
intermediate,48.92,-69.39141968694102,-69.39157526934868,-69.46992556083765,0.00013073679431661997
intermediate,48.93,-69.39162439515722,-69.39177947445711,-69.47005148699405,0.0001303017305114102
intermediate,48.940000000000005,-69.39182898355163,-69.39198356140973,-69.47017741571398,0.0001298681145045462
intermediate,48.95000000000001,-69.3920334522665,-69.39218753034328,-69.47030334693089,0.00012943594147806856
intermediate,48.96,-69.39223780144391,-69.3923913813943,-69.47042928057841,0.00012900520663005035
intermediate,48.970000000000006,-69.39244203122568,-69.39259511469916,-69.47055521659028,0.0001285759051745439
intermediate,48.980000000000004,-69.39264614175346,-69.39279873039402,-69.47068115490035,0.0001281480323415291
intermediate,48.99000000000001,-69.39285013316862,-69.39300222861478,-69.47080709544261,0.00012772158337685826
intermediate,49.0,-69.39305400561236,-69.3932056094972,-69.4709330381512,0.00012729655354220624
intermediate,49.010000000000005,-69.39325775922565,-69.39340887317684,-69.47105898296037,0.0001268729381150137
intermediate,49.02,-69.39346139414923,-69.39361201978902,-69.47118492980452,0.00012645073238843924
intermediate,49.03,-69.3936649105236,-69.39381504946887,-69.47131087861814,0.00012602993167130317
intermediate,49.040000000000006,-69.39386830848906,-69.39401796235134,-69.4714368293359,0.00012561053128803783
intermediate,49.050000000000004,-69.39407158818575,-69.39422075857115,-69.47156278189257,0.00012519252657863485
intermediate,49.06000000000001,-69.39427474975345,-69.39442343826285,-69.47168873622307,0.0001247759128985925
intermediate,49.07,-69.39447779333187,-69.39462600156074,-69.47181469226243,0.00012436068561886654
intermediate,49.080000000000005,-69.39468071906037,-69.39482844859897,-69.4719406499458,0.00012394684012581554
intermediate,49.09,-69.39488352707825,-69.39503077951147,-69.47206660920847,0.00012353437182115244
intermediate,49.1,-69.39508621752444,-69.39523299443196,-69.4721925699859,0.00012312327612189138
intermediate,49.11,-69.39528879053772,-69.395435093494,-69.47231853221362,0.00012271354846029862
intermediate,49.120000000000005,-69.39549124625667,-69.3956370768309,-69.47244449582732,0.0001223051842838399
intermediate,49.13000000000001,-69.39569358481963,-69.3958389445758,-69.47257046076278,0.00012189817905513131
intermediate,49.14,-69.39589580636473,-69.39604069686165,-69.47269642695598,0.00012149252825188896
intermediate,49.150000000000006,-69.39609791102987,-69.39624233382115,-69.47282239434294,0.00012108822736687688
intermediate,49.160000000000004,-69.39629989895275,-69.39644385558687,-69.47294836285987,0.00012068527190785931
intermediate,49.17000000000001,-69.39650177027085,-69.39664526229114,-69.47307433244309,0.00012028365739754878
intermediate,49.18,-69.39670352512145,-69.39684655406612,-69.47320030302906,0.00011988337937355815
intermediate,49.190000000000005,-69.39690516364158,-69.39704773104371,-69.47332627455434,0.00011948443338834927
intermediate,49.2,-69.39710668596808,-69.39724879335573,-69.47345224695562,0.0001190868150091853
intermediate,49.21,-69.39730809223764,-69.39744974113368,-69.47357822016973,0.00011869051981807952
intermediate,49.220000000000006,-69.39750938258658,-69.39765057450893,-69.4737041941336,0.00011829554341174855
intermediate,49.230000000000004,-69.39771055715114,-69.39785129361265,-69.47383016878435,0.00011790188140156165
