condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,29.0,-67.31582164380603,-68.60322944404635,-69.55982742483397,0.1000260667349485
high,29.01,-67.32069846343427,-68.60391591614432,-69.55944640253149,0.09969320159594433
high,29.02,-67.32556250409142,-68.60460300023772,-69.55906608345953,0.09936144416020554
high,29.030000000000005,-67.33041380116632,-68.60529069047216,-69.55868646734162,0.09903079074153492
high,29.040000000000003,-67.33525238995516,-68.605978981018,-69.55830755389835,0.09870123766600242
high,29.050000000000004,-67.34007830566183,-68.60666786607017,-69.55792934284737,0.09837278127190366
high,29.060000000000002,-67.34489158339791,-68.60735733984816,-69.55755183390347,0.09804541790971986
high,29.070000000000004,-67.34969225818296,-68.60804739659592,-69.55717502677848,0.09771914394207686
high,29.080000000000002,-67.35448036494468,-68.6087380305818,-69.55679892118141,0.09739395574370512
high,29.09,-67.35925593851918,-68.60942923609842,-69.55642351681838,0.097069849701399
high,29.1,-67.36401901365106,-68.6101210074626,-69.55604881339269,0.09674682221397697
high,29.110000000000003,-67.36876962499362,-68.61081333901531,-69.55567481060481,0.09642486969224123
high,29.120000000000005,-67.37350780710909,-68.61150622512154,-69.55530150815238,0.09610398855893859
high,29.130000000000003,-67.3782335944688,-68.6121996601703,-69.55492890573024,0.09578417524871957
high,29.140000000000004,-67.38294702145332,-68.6128936385744,-69.55455700303048,0.0954654262080998
high,29.150000000000002,-67.38764812235276,-68.61358815477054,-69.55418579974238,0.09514773789541986
high,29.16,-67.39233693136686,-68.61428320321903,-69.55381529555252,0.09483110678080646
high,29.17,-67.39701348260516,-68.61497877840394,-69.55344549014471,0.09451552934613273
high,29.18,-67.40167781008729,-68.6156748748328,-69.55307638320004,0.09420100208497963
high,29.19,-67.40632994774313,-68.61637148703672,-69.55270797439687,0.09388752150259645
high,29.200000000000003,-67.41096992941291,-68.6170686095701,-69.55234026341097,0.09357508411586235
high,29.210000000000004,-67.41559778884745,-68.61776623701068,-69.55197324991532,0.09326368645324783
high,29.220000000000002,-67.42021355970844,-68.6184643639595,-69.55160693358029,0.09295332505477549
high,29.230000000000004,-67.42481727556846,-68.61916298504072,-69.55124131407361,0.09264399647198222
