outlier_category,dataset,phase_source,condition,regime,active_or_passive,target_type,source_file,row_id,SMI,observed_Gamma_h_to_d,Gamma_divider,residual,absolute_residual,relative_error,absolute_relative_error,log10_absolute_relative_error,exploratory_only,source_caveat,A_h_mV,Gamma_h_to_s,R_neck_Mohm,R_in_d_Mohm,A_d_mV,A_s_mV,neck_length_um,neck_radius_um,path_length_um,branch_order,membrane_area_um2,Zin_Mohm,Ztransfer_Mohm,transfer_gain,synaptic_conductance_scale,dynamic_SMI_abs
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_200,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,200,1.978239528957478,0.0711427189463419,0.33576882929562296,-0.2646261103492811,0.2646261103492811,-0.7881199422364925,0.7881199422364925,-0.10340768316081972,False,,20.25151909623477,0.0263182829814399,285.82928555279153,144.48669201520914,,0.5329852103787419,1.1,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_361,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,361,1.9512716634780232,0.0720159619343439,0.33883698758572334,-0.26682102565137944,0.26682102565137944,-0.7874613322250589,0.7874613322250589,-0.10377076276196474,False,,20.0578943361004,0.0266350804561299,281.93278787895395,144.48669201520914,,0.5342436294225872,1.9,0.0463157894736842,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_0,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,0,0.4521052631578947,0.1962273811801802,0.6886553098948895,-0.4924279287147093,0.4924279287147093,-0.7150571870125699,0.7150571870125699,-0.14565922391803265,False,,8.976751157433933,0.0769824943149854,100.0,221.18742724097788,,0.691052694944197,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_1,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,1,0.4542788336329181,0.1961041921096107,0.687626043144636,-0.4915218510350253,0.4915218510350253,-0.7148098242283096,0.7148098242283096,-0.14580948725365706,False,,8.976725280908523,0.0768775973202614,100.0,220.1291202592226,,0.6901090714002966,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_2,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,2,0.4569248449689312,0.1959544562226105,0.6863772029512785,-0.4904227467286679,0.4904227467286679,-0.714509084246902,0.714509084246902,-0.145992245230993,False,,8.976693783068104,0.0767503858900683,100.0,218.854372006844,,0.6889647118674541,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_3,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,3,0.4601459855165975,0.1957726686145006,0.6848630273405173,-0.4890903587260167,0.4890903587260167,-0.7141433238486657,0.7141433238486657,-0.14621461944213512,False,,8.97665544358893,0.0765962281126381,100.0,217.32233497100236,,0.6875779480456923,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_4,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,4,0.464067263663295,0.1955520354263972,0.6830287274492186,-0.4874766920228214,0.4874766920228214,-0.7136986665894869,0.7136986665894869,-0.14648511463913258,False,,8.976608777629181,0.0764096061085726,100.0,215.48600349572436,,0.6858991408894011,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_5,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,5,0.4688408592503938,0.1952843988466175,0.6808089478872058,-0.4855245490405883,0.4855245490405883,-0.7131582957999377,0.7131582957999377,-0.14681406150555082,False,,8.976551978679643,0.0761839367239959,100.0,213.29199029258027,,0.6838690679433906,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_6,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,6,0.4746520294802748,0.1949600947239474,0.6781260799216743,-0.4831659851977269,0.4831659851977269,-0.7125017006476644,0.7125017006476644,-0.14721409471451907,False,,8.976482849169034,0.0759114429328695,100.0,210.68065401404908,,0.6814177655425774,,,,,,,,,,
divider_overprediction_most_negative_residual,phase02_matched_neck_load_sweep,phase02,row_7,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,7,0.4817262985138563,0.1945673255263699,0.6748884736695172,-0.4803211481431473,0.4803211481431473,-0.7117044769360713,0.7117044769360713,-0.1477003022600265,False,,8.976398716229752,0.075582960442877,100.0,207.5867568544706,,0.6784627890882855,,,,,,,,,,
