n,group,target,rank,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,model
384,active,active_Gamma_h_to_s,4,electrotonic_distance_50Hz,-0.6154474846172615,-0.5901982808314401,0.5901982808314401,0.5374270885780017,0.6522380510925613,0.009027555892148511,univariate_linear
384,active,active_Gamma_h_to_s,5,Ztransfer_50Hz_Mohm,0.5929628208846682,0.567932801532671,0.567932801532671,0.5109138673256428,0.6313515177276778,0.009221227010508423,univariate_linear
384,active,active_Gamma_h_to_s,6,R_in_d_Mohm,0.5386568323675717,0.5563623224034451,0.5563623224034451,0.5001607146626327,0.6031395630178594,0.009657374642918746,univariate_linear
384,active,active_Gamma_h_to_s,7,membrane_leak_scale,-0.5497518255429656,-0.5563623224034451,0.5563623224034451,0.5001607146626327,0.6031395630178594,0.0095823098877698,univariate_linear
384,active,active_Gamma_h_to_s,8,membrane_capacitance_scale,-0.5669523517556673,-0.5495189210267539,0.5495189210267539,0.49226574015644,0.6152106906100914,0.009429132276788843,univariate_linear
384,active,active_A_h_mV,1,synaptic_conductance_scale,0.9756608738727702,0.9829382269166864,0.9829382269166864,0.979299632974818,0.9848536601636445,1.1195400149601749,univariate_linear
384,active,active_A_h_mV,2,SMI,0.12083851634466578,0.12257871045403683,0.12257871045403683,0.048277018950668674,0.19389673297576673,5.064191400270943,univariate_linear
384,active,active_A_h_mV,3,R_neck_Mohm,0.12016333004702902,0.11770730900952833,0.11770730900952833,0.04510973392672293,0.19308299537519347,5.063806095200322,univariate_linear
384,active,active_A_h_mV,4,dynamic_SMI_abs_50Hz,0.11848526448445848,0.11728747753551931,0.11728747753551931,0.04426847638039803,0.19125728080455404,5.064889982855855,univariate_linear
384,active,active_A_h_mV,5,active_dynamic_SMI_abs_50Hz,0.11838640426747862,0.11693864229765014,0.11693864229765014,0.04388106875149894,0.19099449194422988,5.0649651895921775,univariate_linear
384,active,active_A_h_mV,6,neck_length_um,0.10171562287488631,0.10276631006069649,0.10276631006069649,0.019800890944653166,0.18217278647186644,5.075033837230813,univariate_linear
384,active,active_A_h_mV,7,calcium_density_scale,-0.09439244573719206,-0.09703553626530127,0.09703553626530127,0.015638835204643348,0.18170878569906349,5.084549256780633,univariate_linear
384,active,active_A_h_mV,8,Ztransfer_50Hz_Mohm,0.08693659155556703,0.08448488521921942,0.08448488521921942,0.010322246235066404,0.16242035962570436,5.101342753559237,univariate_linear
384,active,active_local_voltage_isolation,1,active_dynamic_SMI_abs_50Hz,0.9948109419408196,0.9984974229425927,0.9984974229425927,0.9977680800113701,0.9988776686188188,0.006061826213983867,univariate_linear
384,active,active_local_voltage_isolation,2,dynamic_SMI_abs_50Hz,0.9948075625502275,0.9984842833406802,0.9984842833406802,0.9977938676989451,0.9988607646957115,0.006063685931198039,univariate_linear
384,active,active_local_voltage_isolation,3,R_neck_Mohm,0.9948190969486654,0.9984226119833169,0.9984226119833169,0.9976547912596996,0.9987697835216804,0.00604480238053063,univariate_linear
384,active,active_local_voltage_isolation,4,SMI,0.9259915601491655,0.9360516767827473,0.9360516767827473,0.9238219233630937,0.9441293966487847,0.021742257186360574,univariate_linear
384,active,active_local_voltage_isolation,5,neck_radius_um,-0.6072422856022964,-0.6052242633345767,0.6052242633345767,0.5537267930144678,0.6615993878644953,0.045577812334449595,univariate_linear
384,active,active_local_voltage_isolation,6,neck_length_um,0.5762153124278183,0.5936133057542979,0.5936133057542979,0.5262932637618056,0.6436873267571167,0.0468229312668079,univariate_linear
384,active,active_local_voltage_isolation,7,R_in_d_Mohm,-0.08535577121833184,-0.080121053880845,0.080121053880845,0.006293313477084102,0.15358986809779224,0.057086166971981656,univariate_linear
384,active,active_local_voltage_isolation,8,membrane_leak_scale,0.07428676737737028,0.080121053880845,0.080121053880845,0.006293313477084102,0.15358986809779224,0.05709897526603705,univariate_linear
384,passive,Gamma_h_to_d,,SMI_plus_transfer_gain,,,,,,0.021764398451082325,fixed_multivariable_linear
384,passive,Gamma_h_to_d,,SMI_plus_impedance_active_state,,,,,,0.02011009956370244,fixed_multivariable_linear
384,passive,Gamma_h_to_d,,morphology_neck_load,,,,,,0.00517269033829856,fixed_multivariable_linear
384,passive,Gamma_h_to_s,,SMI_plus_transfer_gain,,,,,,0.004331040326906422,fixed_multivariable_linear
384,passive,Gamma_h_to_s,,SMI_plus_impedance_active_state,,,,,,0.00402887552741985,fixed_multivariable_linear
384,passive,Gamma_h_to_s,,morphology_neck_load,,,,,,0.007455860778873059,fixed_multivariable_linear
384,passive,A_h_mV,,SMI_plus_transfer_gain,,,,,,4.629332579134592,fixed_multivariable_linear
384,passive,A_h_mV,,SMI_plus_impedance_active_state,,,,,,4.634067263613049,fixed_multivariable_linear
384,passive,A_h_mV,,morphology_neck_load,,,,,,4.650127120043496,fixed_multivariable_linear
