n,sample_id,true_radius_um,true_SMI,true_class,measurement_sd_um,measured_SMI_min,measured_SMI_max,class_stable_fraction,class_flips,distance_to_nearest_boundary,SMI_fold_range
192,116,0.07315337755064558,0.23172860635442016,low,0.018,0.10408162344464904,0.3444656449018746,0.52,True,0.018271393645579836,3.309572175198272
192,125,0.10283379903368377,0.23932233149792695,low,0.018,0.13129995291893304,0.5665818904458668,0.52,True,0.010677668502073051,4.315172076228273
192,176,0.08833414645637588,0.24716986253713344,low,0.018,0.12475900870557512,0.5357352825791025,0.52,True,0.002830137462866561,4.294161104176536
192,126,0.08096978775323532,0.22485399701476227,low,0.018,0.10774551715244231,0.40949076607115353,0.56,True,0.025146002985237725,3.800536457510255
192,124,0.08368890885014167,0.2965795790906287,intermediate,0.018,0.14500041326343477,0.5769983280362145,0.6,True,0.04657957909062871,3.9792874727048666
192,133,0.07798869316768668,0.2055576346328595,low,0.018,0.0962217715187384,0.3472916942487947,0.6,True,0.044442365367140496,3.609283936132505
192,49,0.09929124506176179,0.19557292104430513,low,0.018,0.10533949897866854,0.48133047236784077,0.64,True,0.054427078955694874,4.56932562841704
192,73,0.1025296958952791,0.1982676620966262,low,0.018,0.1086089118130201,0.47089073704287887,0.64,True,0.05173233790337381,4.335654682311514
192,170,0.08545424225379111,0.19105668191201358,low,0.018,0.0945810450873384,0.3875493254765345,0.64,True,0.05894331808798642,4.097536933734049
192,177,0.10173967134848463,0.19811359571534362,low,0.018,0.1080878445426593,0.47450400674600607,0.64,True,0.05188640428465638,4.389984912306512
192,179,0.10030534972649814,0.18974162945586212,low,0.018,0.10275075365669505,0.46165400742497475,0.68,True,0.06025837054413788,4.492950085479925
384,304,0.09192435391777756,0.23671803955660786,low,0.018,0.12223232236369123,0.5556355532237736,0.52,True,0.013281960443392138,4.545733423689113
384,144,0.09743023798409522,0.23407832048898766,low,0.018,0.12480736039518776,0.5888224010347503,0.56,True,0.015921679511012338,4.717849966302578
384,173,0.0924009137221838,0.2298827839836745,low,0.018,0.11904817748569566,0.5452007930642978,0.56,True,0.02011721601632549,4.579665179081023
384,254,0.09130347160256291,0.2191485636705002,low,0.018,0.11272823728281613,0.5074703930066524,0.56,True,0.0308514363294998,4.50171496724015
384,285,0.1094954624181904,0.23174535186604847,low,0.018,0.1312515310004778,0.5143778073211565,0.56,True,0.01825464813395153,3.919023293673306
384,137,0.09339688332998596,0.31335209557751087,intermediate,0.018,0.16324870297306968,0.7592676050674918,0.6,True,0.06335209557751087,4.650987059864999
384,323,0.11281845336385671,0.211895697583676,low,0.018,0.12177800319706036,0.4570369407650016,0.6,True,0.03810430241632401,3.753033624844607
384,354,0.10593260023636474,0.2197405615618254,low,0.018,0.12240669637708144,0.5042084763308445,0.6,True,0.030259438438174607,4.119124943766139
384,372,0.10007570523617933,0.21634745066074806,low,0.018,0.11701671794877698,0.5277427926292761,0.6,True,0.033652549339251936,4.509977735491529
384,99,0.11174760727633128,0.20372914127904737,low,0.018,0.11654367471716774,0.443396011981954,0.64,True,0.04627085872095263,3.804548063702324
384,108,0.08738551376748889,0.31912758700658783,intermediate,0.018,0.16007182215964377,0.676925283530107,0.64,True,0.06912758700658783,4.228884724351996
384,141,0.09050062010937633,0.20031162341081424,low,0.018,0.10252362461036318,0.45572909907039444,0.64,True,0.04968837658918576,4.445113024460207
768,98,0.10214465644863119,0.250448655489054,intermediate,0.018,0.13692470921447106,0.5972559410877903,0.52,True,0.000448655489053984,4.361929592651409
768,207,0.09414730318618797,0.2658722176499702,intermediate,0.018,0.13912922945717354,0.654615411991585,0.52,True,0.01587221764997021,4.705089035177092
768,335,0.0964845852984626,0.2486637950912233,low,0.018,0.13188570502660543,0.6327599920933139,0.52,True,0.0013362049087767003,4.797790571507857
768,386,0.09531637237498947,0.25745789148128706,intermediate,0.018,0.13564489855316372,0.6497386742309972,0.52,True,0.00745789148128706,4.789997126035249
768,445,0.07934601638251318,0.242524708034313,low,0.018,0.11476277609012632,0.4241346411606545,0.52,True,0.007475291965686998,3.6957509709208334
768,502,0.09185350758755066,0.23486988700495473,low,0.018,0.12122537467261627,0.550448038653879,0.52,True,0.01513011299504527,4.5406998340110745
768,715,0.07772356945588066,0.2558554877282608,intermediate,0.018,0.11950862402955482,0.42933639996029915,0.52,True,0.005855487728260778,3.5925139582740324
768,762,0.09065294774458134,0.25913905298008166,intermediate,0.018,0.13275965776280674,0.5915537715306801,0.52,True,0.009139052980081663,4.455824770108791
768,99,0.08199750316275278,0.22978023922887597,low,0.018,0.11096047274200091,0.4291522886928946,0.56,True,0.02021976077112403,3.867614097956626
768,171,0.09507512604768927,0.22127572042538227,low,0.018,0.11641984455144724,0.5556036400177754,0.56,True,0.028724279574617734,4.772413519004897
768,179,0.0852677482579835,0.27020595662148317,intermediate,0.018,0.1335899786175459,0.5457101186197336,0.56,True,0.020205956621483168,4.08496299098935
768,185,0.07865281176109046,0.23076742537585326,low,0.018,0.10860094158097254,0.39655233336404105,0.56,True,0.019232574624146737,3.6514631235344566
