n_previous,n_current,output,metric,previous_value,current_value,relative_change,passed_10_percent
192,384,R_neck_Mohm,p2_5,8.446009067422658,9.163708764383413,0.07831978464333555,True
192,384,R_neck_Mohm,p97_5,68.83025407998615,58.09313447916483,0.1848259643258223,False
192,384,SMI,median,0.0798521152296712,0.07783472268332997,0.025918927655835255,True
192,384,SMI,p2_5,0.025526026070359305,0.024678333955577475,0.034349649222987604,True
192,384,SMI,p97_5,0.22640078411618525,0.20719992770851461,0.09266825823743567,True
192,384,Ztransfer_50Hz_Mohm,median,13.901904905778654,14.000951742884443,0.007074293156972432,True
192,384,Ztransfer_50Hz_Mohm,p2_5,11.778964883103482,11.768952090025216,0.00085078034150145,True
192,384,Ztransfer_50Hz_Mohm,p97_5,17.214540768723815,17.264062519486266,0.0028684876868671884,True
192,384,active_A_h_mV,median,14.522463630414869,14.503800085017645,0.0012868038229859305,True
192,384,active_A_h_mV,p2_5,8.058622460629635,7.891613989541732,0.021162777514109263,True
192,384,active_A_h_mV,p97_5,24.930101600994586,25.208183759369806,0.011031423803861224,True
192,384,active_Gamma_h_to_d,median,0.8677965156545648,0.8740089110439385,0.007107931407648279,True
192,384,active_Gamma_h_to_d,p2_5,0.7047005182062824,0.7457804332576465,0.05508312261817162,True
192,384,active_Gamma_h_to_d,p97_5,0.952859657840695,0.9484600550463821,0.004638680111939769,True
192,384,active_Gamma_h_to_s,median,0.08322895305599166,0.08298718692879642,0.002913294643939212,True
192,384,active_Gamma_h_to_s,p2_5,0.06559510455856749,0.06387625870125394,0.02690899392452689,True
192,384,active_Gamma_h_to_s,p97_5,0.11078594557081951,0.10999568087461518,0.00718450660899274,True
192,384,active_Zin_50Hz_Mohm,median,165.48761700206643,165.4255242928683,0.00037535144267224137,True
192,384,active_Zin_50Hz_Mohm,p2_5,163.08376952724916,163.02671537118718,0.0003499681382408796,True
192,384,active_Zin_50Hz_Mohm,p97_5,167.9863787333276,168.0128995355141,0.00015784979760372832,True
192,384,active_transfer_gain_50Hz,median,0.08421040748388328,0.08430433053608433,0.0011140952262332885,True
192,384,active_transfer_gain_50Hz,p2_5,0.07162632166951484,0.07135528617154355,0.0037983940996284705,True
192,384,active_transfer_gain_50Hz,p97_5,0.10334257110498608,0.10322172602364504,0.0011707330035670728,True
384,768,A_h_mV,median,14.2512090999232,14.193852462684866,0.004040949234122461,True
384,768,A_h_mV,p2_5,7.88989482328721,7.825889844660045,0.008178619926632148,True
384,768,A_h_mV,p97_5,23.122474003039343,23.644214360036727,0.022066301254620054,True
384,768,Gamma_h_to_d,median,0.871846588521069,0.8682962517050126,0.0040888542465603,True
384,768,Gamma_h_to_d,p2_5,0.7391492777357002,0.7197060179926857,0.027015558098629124,True
384,768,Gamma_h_to_d,p97_5,0.9481483118551275,0.9508676116444954,0.002859809037627194,True
384,768,Gamma_h_to_s,median,0.07988349911608941,0.0796242033578654,0.0032564942227256122,True
384,768,Gamma_h_to_s,p2_5,0.061899028892092485,0.061492062021124005,0.006618201725430457,True
384,768,Gamma_h_to_s,p97_5,0.10459101173925739,0.10252109445515549,0.02019015984078591,True
384,768,R_in_d_Mohm,median,309.87907296809465,309.8071995367838,0.0002319940641092649,True
384,768,R_in_d_Mohm,p2_5,241.03211667454394,241.10490932934644,0.00030191278562090285,True
