n,output,mean,sd,p2_5,p25,median,p75,p97_5
384,R_in_d_Mohm,321.6472413569183,60.971038821814716,241.03211667454394,268.3086164517807,309.87907296809465,368.7295653674058,442.19385307037777
384,SMI,0.0890215619763779,0.0486350137365431,0.024678333955577475,0.05184815335561401,0.07783472268332997,0.11619293966224237,0.20719992770851461
384,Gamma_h_to_d,0.8620860939883119,0.05770519873926591,0.7391492777357002,0.8251328010904969,0.871846588521069,0.9068004213606032,0.9481483118551275
384,Gamma_h_to_s,0.08063467540028202,0.01059095028003757,0.061899028892092485,0.07337214475518716,0.07988349911608941,0.08701158211766369,0.10459101173925739
384,A_h_mV,14.731573403229023,4.643780326067484,7.88989482328721,10.614484033201173,14.2512090999232,18.27291724302847,23.122474003039343
384,Ztransfer_50Hz_Mohm,14.156471202063694,1.6515715348017828,11.768952090025216,12.711041598240325,14.000951742884443,15.428295622394545,17.264062519486266
384,active_Zin_50Hz_Mohm,165.44494669821557,1.307896584015274,163.02671537118718,164.51104659683105,165.4255242928683,166.29468400254143,168.0128995355141
384,active_transfer_gain_50Hz,0.0852987650982691,0.009572326298982069,0.07135528617154355,0.0771957145125793,0.08430433053608433,0.09278622634417065,0.10322172602364504
384,active_A_h_mV,15.189342165121028,5.084332479245918,7.891613989541732,10.808097093051181,14.503800085017645,18.833867049540274,25.208183759369806
384,active_Gamma_h_to_d,0.8638251691327806,0.05709210621735647,0.7457804332576465,0.8274583021057835,0.8740089110439385,0.9075725218510159,0.9484600550463821
384,active_Gamma_h_to_s,0.08377575697146829,0.011401037124773552,0.06387625870125394,0.07585458600841588,0.08298718692879642,0.0908434768342838,0.10999568087461518
768,R_neck_Mohm,27.62695846054393,14.157017566328593,8.599721102759474,16.522338353954364,25.226945228809164,35.36946997232218,64.04244260823458
768,R_in_d_Mohm,321.63461218515243,60.93931016194724,241.10490932934644,268.1823479278281,309.8071995367838,369.08170300907307,442.83562957201906
768,SMI,0.08909247391600823,0.049480749585135764,0.02685249602227454,0.052193225341799196,0.07878732729522342,0.11255057013645146,0.21221842422149217
768,Gamma_h_to_d,0.8617025719259765,0.05947353227889747,0.7197060179926857,0.8243343699159276,0.8682962517050126,0.9099428634717133,0.9508676116444954
768,Gamma_h_to_s,0.08065817028336585,0.010562584639649401,0.061492062021124005,0.07281597789953179,0.0796242033578654,0.08743679185486063,0.10252109445515549
768,A_h_mV,14.756973178271402,4.731129883606891,7.825889844660045,10.729907603525595,14.193852462684866,18.68836068906615,23.644214360036727
768,Ztransfer_50Hz_Mohm,14.159725971770063,1.6673878498402326,11.705327992909977,12.718995459240476,13.99275453293079,15.524068369151978,17.2036381514656
768,active_Zin_50Hz_Mohm,165.4254831766866,1.3155364502979343,162.91289237907912,164.51572477693986,165.44004454646847,166.32229753911434,168.192199894856
768,active_transfer_gain_50Hz,0.0853274864166788,0.009669969969782696,0.07125903984119072,0.07685726961980663,0.08440454669599745,0.09323325505609126,0.10308842732695453
768,active_A_h_mV,15.238301722939696,5.231102644100943,7.880228557940943,10.890159874341622,14.54371164850405,19.33037506463153,25.374193189480057
768,active_Gamma_h_to_d,0.8635117175928944,0.05877753489921718,0.7223708471654183,0.8267575373956109,0.8708513408140615,0.9108012403142761,0.9512001667071692
768,active_Gamma_h_to_s,0.0838017971953049,0.01156104894349613,0.06351060910685827,0.07525928273316004,0.08294636649858173,0.0914260830565567,0.10766774098195778
