n,group,target,best_univariate_predictor,best_abs_spearman,best_cv_rmse,smi_abs_spearman,smi_bootstrap_p05,smi_bootstrap_p95,smi_cv_rmse,smi_rank,delta_from_previous_n,best_predictor_changed_from_previous_n,row_type
384,passive,A_h_mV,synaptic_conductance_scale,0.9845009918280153,0.9296754899598814,0.12193169102438033,0.04752128889476777,0.19542838369449364,4.628193702874011,2,,,summary
384,passive,local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9999145925875691,0.005197990969875974,0.9371946102200671,0.9252037417599214,0.9448231244956777,0.021720589281179842,4,,,summary
384,active,active_Gamma_h_to_d,active_dynamic_SMI_abs_50Hz,0.9984974229425927,0.006061826213983868,0.9360516767827473,0.9238219233630937,0.9441293966487847,0.02174225718636059,4,,,summary
384,active,active_Gamma_h_to_s,SMI,0.6398848377471092,0.008730528097483384,0.6398848377471092,0.5773007713134259,0.684728410582357,0.008730528097483384,1,,,summary
384,active,active_A_h_mV,synaptic_conductance_scale,0.9829382269166864,1.1195400149601749,0.12257871045403683,0.048277018950668674,0.19389673297576673,5.064191400270943,2,,,summary
384,active,active_local_voltage_isolation,active_dynamic_SMI_abs_50Hz,0.9984974229425927,0.006061826213983867,0.9360516767827473,0.9238219233630937,0.9441293966487847,0.021742257186360574,4,,,summary
768,passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9999562368710613,0.005507540041648529,0.9384077670334999,0.9327005486015125,0.9442650907711106,0.02251737032500952,4,,,summary
768,passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.6711342852008145,0.007639798676597949,0.6456772042205882,0.6086854324479017,0.6777400710667727,0.008108181371512107,5,,,summary
768,passive,A_h_mV,synaptic_conductance_scale,0.9835271556043084,0.9837304245189399,0.2199705727396185,0.16507563371308992,0.28393480831363693,4.6108550630567935,2,,,summary
768,passive,local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9999562368710613,0.005507540041648528,0.9384077670334999,0.9327005486015125,0.9442650907711106,0.022517370325009528,4,,,summary
768,active,active_Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9985160007748087,0.006233548186860439,0.9362839837120628,0.930238416312715,0.9424667544858325,0.02258509195427483,4,,,summary
768,active,active_Gamma_h_to_s,SMI,0.6448388965842295,0.008910569525200128,0.6448388965842295,0.6117826164037821,0.6776522104173203,0.008910569525200128,1,,,summary
768,active,active_A_h_mV,synaptic_conductance_scale,0.9828406148963333,1.2056483395608606,0.21736197766109494,0.16062478457425597,0.2811751145925879,5.098406615842771,2,,,summary
768,active,active_local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9985160007748087,0.006233548186860428,0.9362839837120628,0.930238416312715,0.9424667544858325,0.022585091954274824,4,,,summary
192,active,active_A_h_mV,synaptic_conductance_scale,0.9802376366546401,1.292940504757398,0.16492655236958467,0.05412228696497778,0.2847832157558068,5.161719851733366,6,0.09711591753507572,False,delta
384,active,active_A_h_mV,synaptic_conductance_scale,0.9829382269166864,1.1195400149601749,0.12257871045403683,0.048277018950668674,0.19389673297576673,5.064191400270943,2,0.04234784191554784,False,delta
768,active,active_A_h_mV,synaptic_conductance_scale,0.9828406148963333,1.2056483395608606,0.21736197766109494,0.16062478457425597,0.2811751145925879,5.098406615842771,2,0.09478326720705811,False,delta
192,active,active_Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9987860456284079,0.007325591261767614,0.9331884274204487,0.9099708977670177,0.9488178281287925,0.023107899639321552,4,0.010969219607100955,True,delta
384,active,active_Gamma_h_to_d,active_dynamic_SMI_abs_50Hz,0.9984974229425927,0.006061826213983868,0.9360516767827473,0.9238219233630937,0.9441293966487847,0.02174225718636059,4,0.0028632493622985367,True,delta
768,active,active_Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9985160007748087,0.006233548186860439,0.9362839837120628,0.930238416312715,0.9424667544858325,0.02258509195427483,4,0.00023230692931552888,True,delta
192,active,active_Gamma_h_to_s,SMI,0.6620900360795378,0.009790039750453781,0.6620900360795378,0.5795646582832585,0.7327641759888225,0.009790039750453781,1,0.05175362804915251,False,delta
384,active,active_Gamma_h_to_s,SMI,0.6398848377471092,0.008730528097483384,0.6398848377471092,0.5773007713134259,0.684728410582357,0.008730528097483384,1,0.02220519833242851,False,delta
768,active,active_Gamma_h_to_s,SMI,0.6448388965842295,0.008910569525200128,0.6448388965842295,0.6117826164037821,0.6776522104173203,0.008910569525200128,1,0.004954058837120301,False,delta
192,active,active_local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9987860456284079,0.00732559126176762,0.9331884274204487,0.9099708977670177,0.9488178281287925,0.02310789963932155,4,0.010969219607100955,True,delta
384,active,active_local_voltage_isolation,active_dynamic_SMI_abs_50Hz,0.9984974229425927,0.006061826213983867,0.9360516767827473,0.9238219233630937,0.9441293966487847,0.021742257186360574,4,0.0028632493622985367,True,delta
768,active,active_local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9985160007748087,0.006233548186860428,0.9362839837120628,0.930238416312715,0.9424667544858325,0.022585091954274824,4,0.00023230692931552888,True,delta
192,passive,A_h_mV,synaptic_conductance_scale,0.9815363643762037,1.0613444213495906,0.16371768439899087,0.05756047501749135,0.2824071012671523,4.701796427673165,6,0.09612408700344013,False,delta
384,passive,A_h_mV,synaptic_conductance_scale,0.9845009918280153,0.9296754899598814,0.12193169102438033,0.04752128889476777,0.19542838369449364,4.628193702874011,2,0.041785993374610544,False,delta
768,passive,A_h_mV,synaptic_conductance_scale,0.9835271556043084,0.9837304245189399,0.2199705727396185,0.16507563371308992,0.28393480831363693,4.6108550630567935,2,0.09803888171523818,False,delta
192,passive,Gamma_h_to_d,active_dynamic_SMI_abs_50Hz,0.9998694490410439,0.006757850214170746,0.9337496269972602,0.9104792867171668,0.9501819244267706,0.023517617351537894,4,0.010268889069967702,True,delta
384,passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9999145925875691,0.005197990969876002,0.9371946102200671,0.9252037417599214,0.9448231244956777,0.021720589281179866,4,0.003444983222806952,True,delta
768,passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9999562368710613,0.005507540041648529,0.9384077670334999,0.9327005486015125,0.9442650907711106,0.02251737032500952,4,0.0012131568134328141,False,delta
192,passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.678520806771017,0.007934862678972046,0.664092382605865,0.5829577815372888,0.7325848025658411,0.008718886774613967,4,0.015638774358442298,True,delta
384,passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.6464548506323963,0.007898502780029997,0.6380986996032688,0.5853450333780852,0.6847070935823191,0.008067379993058638,4,0.02599368300259619,False,delta
768,passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.6711342852008145,0.007639798676597949,0.6456772042205882,0.6086854324479017,0.6777400710667727,0.008108181371512107,5,0.007578504617319348,False,delta
192,passive,local_voltage_isolation,active_dynamic_SMI_abs_50Hz,0.9998694490410439,0.006757850214170768,0.9337496269972602,0.9104792867171668,0.9501819244267706,0.023517617351537876,4,0.010268889069967702,True,delta
