group,target,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,n,model
passive,A_h_mV,R_neck_Mohm,0.14130933063839368,0.12424036896364622,0.12424036896364622,0.013583348186976749,0.27770287521703135,4.705094819120206,96,univariate_linear
passive,A_h_mV,R_in_d_Mohm,-0.0070784201452193975,0.031795984807379274,0.031795984807379274,0.006968372474396503,0.23063409040164898,4.714512505913112,96,univariate_linear
passive,A_h_mV,SMI,0.14804047583299865,0.09921323928377646,0.09921323928377646,0.009824425814539092,0.2753208750711494,4.69977734433473,96,univariate_linear
passive,A_h_mV,Zin_50Hz_Mohm,0.010297599911020312,0.045103092783505154,0.045103092783505154,0.012052710658715606,0.23616877502997063,4.7053874697697,96,univariate_linear
passive,A_h_mV,Ztransfer_50Hz_Mohm,-0.03757952787912674,-0.027794357026587085,0.027794357026587085,0.010527726828021746,0.20248051733721734,4.693086777850017,96,univariate_linear
passive,A_h_mV,transfer_gain_50Hz,-0.03904380843679818,-0.03221649484536082,0.03221649484536082,0.005207626543246305,0.20256178829788674,4.6927798865724135,96,univariate_linear
passive,A_h_mV,electrotonic_distance_50Hz,0.03508027911047766,0.03221649484536082,0.03221649484536082,0.005207626543246305,0.20256178829788674,4.694928246213862,96,univariate_linear
passive,A_h_mV,dynamic_SMI_abs_50Hz,0.1402121240217851,0.12303309820944112,0.12303309820944112,0.017047355706128867,0.2790702011741648,4.7046941874253285,96,univariate_linear
passive,A_h_mV,neck_radius_um,-0.050949724874747186,-0.04327183939229517,0.04327183939229517,0.0068935929894562925,0.19419845780803377,4.725768391786446,96,univariate_linear
passive,A_h_mV,neck_length_um,0.09125701951839456,0.08243353228431904,0.08243353228431904,0.010853107563072457,0.25849802927369886,4.798279386048195,96,univariate_linear
passive,A_h_mV,head_diameter_um,-0.14068826714498966,-0.1475718936516549,0.1475718936516549,0.012788494481615991,0.29599052082841926,4.705936382168775,96,univariate_linear
passive,A_h_mV,dendritic_area_scale,-0.059168509891013514,-0.051465002712967986,0.051465002712967986,0.012014980552699592,0.21743885794202025,4.701909419162054,96,univariate_linear
passive,A_h_mV,membrane_capacitance_scale,0.035408321542699475,0.03267769940314704,0.03267769940314704,0.004901280804465636,0.20009685954530726,4.694601608502281,96,univariate_linear
passive,A_h_mV,membrane_leak_scale,-0.03856170596453829,-0.031795984807379274,0.031795984807379274,0.006968372474396503,0.23063409040164898,4.732092591328817,96,univariate_linear
passive,A_h_mV,synaptic_conductance_scale,0.9788513178002117,0.9836950623982637,0.9836950623982637,0.9726555238333882,0.9866503507398467,0.9661991531323796,96,univariate_linear
passive,A_h_mV,nmda_fraction,-0.1914006203104513,-0.19985078676071621,0.19985078676071621,0.04411590655836682,0.3114034871718387,4.626300791859542,96,univariate_linear
passive,A_h_mV,hcn_density_scale,0.0721899742863184,0.07577319587628865,0.07577319587628865,0.008048442532335028,0.24193379299565346,4.731203720557477,96,univariate_linear
passive,A_h_mV,na_density_scale,-0.1383083828737811,-0.1269397721106891,0.1269397721106891,0.012480600076340144,0.27166175760694505,4.646371991870557,96,univariate_linear
passive,A_h_mV,kdr_density_scale,0.06004424439863287,0.07061855670103093,0.07061855670103093,0.012727133310839843,0.24746890653214518,4.737915096856566,96,univariate_linear
passive,A_h_mV,a_type_density_scale,-0.21678025230788933,-0.21295442213781876,0.21295442213781876,0.05850582303542377,0.38121180985850095,4.7181255269430356,96,univariate_linear
passive,A_h_mV,calcium_density_scale,0.0657726189376552,0.06762072707542051,0.06762072707542051,0.0034395642497399314,0.23250573353608614,4.690586653241053,96,univariate_linear
passive,A_h_mV,active_Zin_50Hz_Mohm,0.002552097689877312,0.024593054801953337,0.024593054801953337,0.008569498153111149,0.2258470866551745,4.694599439058156,96,univariate_linear
passive,A_h_mV,active_transfer_gain_50Hz,-0.03905607889197012,-0.03221649484536082,0.03221649484536082,0.005207626543246305,0.20256178829788674,4.692774262762806,96,univariate_linear
