degeneracy_type,sample_a,sample_b,SMI_a,SMI_b,relative_SMI_difference,Gamma_h_to_d_a,Gamma_h_to_d_b,Gamma_h_to_d_abs_difference,A_h_mV_a,A_h_mV_b,A_h_relative_difference,max_morphology_relative_difference,radius_a_um,radius_b_um,length_a_um,length_b_um,rho_a_ohm_cm,rho_b_ohm_cm
same_transfer_different_SMI,1,23,0.056711374868178996,0.09199749726258308,0.3835552427441473,0.8985870770298497,0.8695067141750724,0.02908036285477733,11.179438481851363,12.71767652163,0.12095275714572774,0.5126736782262558,0.1121856787100883,0.13914777806450584,0.6032906766765386,1.2379603762848546,123.76295883335209,122.49414228395085
same_SMI_different_morphology,1,28,0.056711374868178996,0.057449011071694686,0.012839841622254242,0.8985870770298497,0.8790237956544983,0.01956328137535146,11.179438481851363,21.92935689505702,0.49020673358773864,0.307270085114629,0.1121856787100883,0.12021314762592686,0.6032906766765386,0.8708887312544712,123.76295883335209,117.81604000801158
similar_outputs_different_parameters,1,44,0.056711374868178996,0.11124804275793067,0.4902258640938099,0.8985870770298497,0.8411901739056289,0.057396903124220855,11.179438481851363,11.81610847272635,0.05388152896061616,0.36604652479993616,0.1121856787100883,0.11492486044513651,0.6032906766765386,0.9516324151171367,123.76295883335209,136.40243357085163
same_transfer_different_SMI,1,68,0.056711374868178996,0.1032223508564292,0.4505901638778,0.8985870770298497,0.8703340334664926,0.028253043563357116,11.179438481851363,11.147941673271495,0.0028173873518782112,0.29105870024491337,0.1121856787100883,0.13523278137731362,0.6032906766765386,0.82235144270285,123.76295883335209,174.57433905473934
same_transfer_different_SMI,1,71,0.056711374868178996,0.1022107036031981,0.4451522896433272,0.8985870770298497,0.8695931981799896,0.028993878849860155,11.179438481851363,15.116647862617064,0.2604551893083572,0.4717915175259424,0.1121856787100883,0.11237445077825384,0.6032906766765386,1.1421449989799597,123.76295883335209,86.86400760255374
same_SMI_different_morphology,1,87,0.056711374868178996,0.05656113904465444,0.0026491303353826934,0.8985870770298497,0.9074265024479702,0.008839425418120439,11.179438481851363,14.558374472367984,0.23209569151623982,0.3033178754877398,0.1121856787100883,0.1341239814756015,0.6032906766765386,0.8659482645674252,123.76295883335209,110.0901644619046
same_transfer_different_SMI,3,13,0.0596050616468424,0.030942276545241496,0.4808783735754986,0.9067761368665825,0.9326181697417899,0.025842032875207366,18.33349812582572,20.23523777655397,0.09398158162152877,0.2387637381710799,0.12502724147625652,0.16424236172863121,0.6208645851486607,0.6103743975642183,135.79129669310345,167.77261613179994
similar_outputs_different_parameters,3,22,0.0596050616468424,0.05565440520149163,0.06628055296307298,0.9067761368665825,0.9151056798855763,0.008329543018993801,18.33349812582572,18.31854651243748,0.0008155352178632884,0.386301075559266,0.12502724147625652,0.12395144554148393,0.6208645851486607,0.8972273422370469,135.79129669310345,83.33497272897019
same_SMI_different_morphology,3,26,0.0596050616468424,0.05889614394394209,0.0118935822447533,0.9067761368665825,0.866910243834018,0.03986589303256449,18.33349812582572,17.293713427149477,0.05671501922546559,0.44601403349229957,0.12502724147625652,0.14488717645041066,0.6208645851486607,1.1207225862823922,135.79129669310345,151.7326639057547
similar_outputs_different_parameters,3,26,0.0596050616468424,0.05889614394394209,0.0118935822447533,0.9067761368665825,0.866910243834018,0.03986589303256449,18.33349812582572,17.293713427149477,0.05671501922546559,0.44601403349229957,0.12502724147625652,0.14488717645041066,0.6208645851486607,1.1207225862823922,135.79129669310345,151.7326639057547
same_transfer_different_SMI,3,31,0.0596050616468424,0.03256659423596881,0.45362703541983435,0.9067761368665825,0.9310816215370785,0.02430548467049598,18.33349812582572,8.95730174507886,0.5114242964652206,0.1905819915224209,0.12502724147625652,0.12159184265343433,0.6208645851486607,0.5025389760452873,135.79129669310345,114.10636714372012
