sample_id,true_radius_um,true_SMI,true_class,measurement_sd_um,measured_SMI_min,measured_SMI_max,class_stable_fraction,class_flips
86,0.10681689762864759,0.07309251578607329,low,0.018,0.04088779034979829,0.16629494065129094,1.0,False
87,0.1341239814756015,0.05656113904465444,low,0.018,0.03515603956678369,0.1056770538579019,1.0,False
88,0.11938242439659119,0.06056304005376911,low,0.018,0.03575070980417791,0.12414791174892423,1.0,False
89,0.11691846954568152,0.10543129022563566,low,0.018,0.061633364962723786,0.22011034002225585,1.0,False
90,0.09638926802952168,0.1447094439687928,low,0.018,0.07670941617469638,0.36866737625797424,0.8,True
91,0.11832987052000656,0.06033449130462851,low,0.018,0.03546944968708361,0.12463487120610345,1.0,False
92,0.09448184473296709,0.1746185154519374,low,0.018,0.0915560070428661,0.43299663297763447,0.72,True
93,0.10731565387193852,0.09949180353872245,low,0.018,0.05578612515167734,0.22529093570118763,1.0,False
94,0.1026490780730025,0.17399165239784997,low,0.018,0.09536841101621651,0.4127149740860447,0.72,True
95,0.10092704229119323,0.08833588337857698,low,0.018,0.047992546516854695,0.21345238430045196,1.0,False
